,Answer,Confidence,Class,1,2,sum_prediction
0,2,0.8,1,0.12,0.88,1.0
1,1,0.6,0,0.76,0.24,1.0
2,2,1.0,1,0.1,0.9,1.0
3,2,0.6,1,0.1,0.9,1.0
4,2,0.8,1,0.05,0.95,1.0
5,2,1.0,1,0.1,0.9,1.0
6,2,1.0,1,0.1,0.9,1.0
7,2,1.0,1,0.1,0.9,1.0
8,2,1.0,1,0.0,1.0,1.0
9,2,1.0,1,0.1,0.9,1.0
10,2,1.0,1,0.1,0.9,1.0
11,2,0.6,1,0.35,0.65,1.0
12,2,1.0,1,0.05,0.95,1.0
13,2,0.8,1,0.2,0.8,1.0
14,2,0.6,1,0.15,0.85,1.0
15,1,1.0,0,0.05,0.95,1.0
16,2,1.0,1,0.05,0.95,1.0
17,2,0.8,1,0.1,0.9,1.0
18,2,1.0,1,0.1,0.9,1.0
19,2,0.6,1,0.45,0.55,1.0
